Gd,Co,Fe,Ce,Pt
175.2957,58.762,111.4393,657.103,713.9115
185.7143,66.73829,82.8698,664.5284,682.2243
192.5543,42.83965,105.8039,642.0096,756.2342
201.0589,85.56383,125.4207,635.4395,698.2882
166.2225,60.90397,93.7072,682.2487,748.1528
184.8697,51.57502,110.3774,619.2841,692.9499
198.0552,53.89855,101.9837,667.4818,688.3845
199.327,85.63573,78.11529,623.7538,704.8347
177.2581,59.8858,95.53014,594.4683,638.6904
171.1725,56.04981,105.646,620.7422,716.2608
165.4709,59.87591,103.6724,665.6262,666.1349
224.2083,46.44345,109.647,599.5011,721.8649
177.0117,76.92183,92.69991,586.3577,779.5308
193.8748,82.74667,110.2512,596.824,740.7401
175.9001,62.40279,86.75954,600.9449,743.5247
161.2367,74.03546,87.97401,679.5204,793.9171
193.9245,72.75064,124.1223,615.6172,740.0642
179.5126,71.49212,74.25104,659.3159,740.5299
180.3746,47.94608,94.22533,625.681,743.3364
182.7029,57.909,100.8377,669.2202,799.8812
168.6301,56.1324,89.6905,603.8604,790.5909
180.9408,71.13282,99.39512,634.9997,729.673
196.935,70.82128,97.36427,621.8768,782.8065
171.1534,40.84403,100.4378,642.0706,737.8741
197.2363,59.02156,119.3078,630.72,762.6776
183.8212,56.90668,76.55241,656.5189,765.2161
173.9789,79.62068,95.38943,650.8608,839.6845
423.3706,79.95068,219.2657,294.1451,768.6823
414.587,57.83662,226.394,345.4134,757.8745
381.9389,97.12642,195.5703,414.0211,735.4548
361.5966,76.67168,219.7842,313.3481,685.2634
375.2152,65.67548,212.0083,398.4413,660.8424
434.6084,85.25862,206.7773,300.1783,650.089
335.933,65.80354,242.8002,355.3542,600.3338
390.2341,76.56431,222.4246,372.1743,662.4506
387.799,87.64129,225.1408,333.0793,693.4266
378.4922,80.96719,209.6217,343.447,811.4951
367.0963,88.67843,233.3378,395.965,814.462
382.6954,47.06387,223.2279,367.9472,789.4462
421.1508,84.29876,223.568,337.0802,793.8563
399.7479,82.51652,207.2734,363.8428,753.2016
327.7457,89.77947,193.7615,391.384,776.6267
408.4982,103.2033,185.7704,336.7051,748.8854
353.8956,74.3282,211.0411,362.2918,759.5245
389.8725,61.83956,199.8215,362.4177,728.5605
342.7369,84.82204,231.9462,392.5005,751.8749
364.4464,71.40324,222.3598,381.2419,751.8161
326.8509,68.09747,190.4369,367.1532,750.6926
337.3483,82.42645,193.1497,397.8738,803.6808
275.7146,81.35148,159.0651,384.5591,817.4043
355.8613,68.82882,169.8327,422.731,835.4683
252.0107,75.21409,176.8147,429.3657,824.196
259.8921,84.50533,109.1017,443.3584,786.3417
236.7355,64.51035,134.9453,499.8529,808.967
266.7645,58.88588,99.47262,484.4093,872.1024
195.405,60.90699,129.7536,493.6586,864.7884
194.2864,72.33073,90.8369,531.1442,891.1885
189.3858,46.78395,119.3208,521.1141,820.2467
175.7731,56.12976,80.48718,518.8414,752.697
144.5195,53.32099,67.76969,571.3643,785.7126
161.2803,57.53721,85.28873,561.092,880.4096
127.9565,60.32019,81.83366,569.1661,819.9102
163.6282,58.14447,90.79488,553.1031,825.2744
166.6134,66.29259,93.28078,527.4588,917.2007
170.4484,59.76823,120.4488,517.8985,897.5451
